CustomerID,Country,JoinDate,Recency,Frequency,Monetary,AvgOrderValue,ChurnLabel,TotalItems,UniqueProducts,TotalOrders,FirstOrderDate,LastOrderDate,CustomerLifespanDays,Region,AvgQuantityPerOrder,AvgPricePerItem
12346,United Kingdom,2009-12-14,326,12,77556.46,6463.04,1,74285.0,27,12,2009-12-14,2011-01-18,400,Europe,6190.42,1.04
12347,Iceland,2010-10-31,3,8,4921.53,615.19,0,2967.0,126,8,2010-10-31,2011-12-07,402,Europe,370.88,1.66
12348,Finland,2010-09-27,76,5,2019.4,403.88,0,2714.0,25,5,2010-09-27,2011-09-25,363,Europe,542.8,0.74
12349,Italy,2010-04-29,19,4,4428.69,1107.17,0,1624.0,138,4,2010-04-29,2011-11-21,571,Europe,406.0,2.73
12350,Norway,2011-02-02,311,1,334.4,334.4,1,197.0,17,1,2011-02-02,2011-02-02,0,Europe,197.0,1.7
12351,Unspecified,2010-11-29,376,1,300.93,300.93,1,261.0,21,1,2010-11-29,2010-11-29,0,Other,261.0,1.15
12352,Norway,2010-11-12,37,10,2849.84,284.98,0,724.0,70,10,2010-11-12,2011-11-03,356,Europe,72.4,3.94
12353,Bahrain,2010-10-27,205,2,406.76,203.38,1,212.0,23,2,2010-10-27,2011-05-19,204,Middle East,106.0,1.92
12354,Spain,2011-04-21,233,1,1079.4,1079.4,1,530.0,58,1,2011-04-21,2011-04-21,0,Europe,530.0,2.04
12355,Bahrain,2010-05-21,215,2,947.61,473.81,1,543.0,35,2,2010-05-21,2011-05-09,353,Middle East,271.5,1.75
12356,Portugal,2010-10-11,23,6,6371.73,1061.96,0,3416.0,104,6,2010-10-11,2011-11-17,402,Europe,569.33,1.87
12357,Switzerland,2010-11-16,34,3,18287.66,6095.89,0,6587.0,261,3,2010-11-16,2011-11-06,355,Europe,2195.67,2.78
12358,Austria,2009-12-08,2,5,3887.07,777.41,0,1079.0,56,5,2009-12-08,2011-12-08,730,Europe,215.8,3.6
12359,Cyprus,2009-12-05,58,10,8873.39,887.34,0,2739.0,305,10,2009-12-05,2011-10-13,677,Europe,273.9,3.24
12360,Austria,2010-02-22,53,8,4252.89,531.61,0,2459.0,160,8,2010-02-22,2011-10-18,603,Europe,307.38,1.73
12361,Belgium,2010-01-26,288,4,511.25,127.81,1,235.0,18,4,2010-01-26,2011-02-25,395,Europe,58.75,2.18
12362,Belgium,2009-12-01,4,11,5356.23,486.93,0,2230.0,201,11,2009-12-01,2011-12-06,735,Europe,202.73,2.4
12363,Unspecified,2011-04-11,110,2,552.0,276.0,1,408.0,23,2,2011-04-11,2011-08-22,133,Other,204.0,1.35
12364,Belgium,2011-08-19,8,4,1313.1,328.28,0,1506.0,70,4,2011-08-19,2011-12-02,105,Europe,376.5,0.87
12365,Cyprus,2011-02-21,292,2,641.38,320.69,1,174.0,22,2,2011-02-21,2011-02-21,0,Europe,87.0,3.69
12366,Cyprus,2010-03-16,634,1,500.24,500.24,1,296.0,3,1,2010-03-16,2010-03-16,0,Europe,296.0,1.69
12367,Denmark,2011-12-05,5,1,168.9,168.9,0,173.0,11,1,2011-12-05,2011-12-05,0,Europe,173.0,0.98
12368,Cyprus,2010-03-21,629,1,917.7,917.7,1,330.0,18,1,2010-03-21,2010-03-21,0,Europe,330.0,2.78
12369,Austria,2010-03-08,414,3,1791.15,597.05,1,1241.0,90,3,2010-03-08,2010-10-22,228,Europe,413.67,1.44
12370,Cyprus,2010-02-09,52,7,4316.56,616.65,0,2604.0,168,7,2010-02-09,2011-10-19,617,Europe,372.0,1.66
12371,Switzerland,2010-03-04,45,5,4067.38,813.48,0,1436.0,134,5,2010-03-04,2011-10-26,601,Europe,287.2,2.83
12372,Denmark,2011-02-16,72,3,1298.04,432.68,0,794.0,34,3,2011-02-16,2011-09-29,225,Europe,264.67,1.63
12373,Austria,2010-02-04,312,3,1127.65,375.88,1,516.0,36,3,2010-02-04,2011-02-01,362,Europe,172.0,2.19
12374,Austria,2010-04-30,26,4,2989.22,747.31,0,1362.0,79,4,2010-04-30,2011-11-14,563,Europe,340.5,2.19
12375,Finland,2011-09-02,11,2,457.5,228.75,0,178.0,14,2,2011-09-02,2011-11-29,88,Europe,89.0,2.57
12376,Switzerland,2010-10-18,390,2,503.15,251.58,1,240.0,11,2,2010-10-18,2010-11-15,28,Europe,120.0,2.1
12377,Switzerland,2010-04-29,316,4,3426.32,856.58,1,2105.0,129,4,2010-04-29,2011-01-28,274,Europe,526.25,1.63
12378,Switzerland,2010-05-26,130,2,5416.32,2708.16,1,3316.0,281,2,2010-05-26,2011-08-02,433,Europe,1658.0,1.63
12379,Belgium,2010-06-23,82,4,1620.22,405.06,0,815.0,58,4,2010-06-23,2011-09-19,453,Europe,203.75,1.99
12380,Belgium,2010-02-15,22,11,9676.3,879.66,0,3355.0,156,11,2010-02-15,2011-11-18,641,Europe,305.0,2.88
12381,Norway,2011-08-12,5,5,1845.31,369.06,0,808.0,70,5,2011-08-12,2011-12-05,115,Europe,161.6,2.28
12383,Belgium,2010-12-22,185,5,1850.56,370.11,1,1532.0,84,5,2010-12-22,2011-06-08,168,Europe,306.4,1.21
12384,Switzerland,2011-08-10,29,2,585.27,292.64,0,126.0,26,2,2011-08-10,2011-11-11,93,Europe,63.0,4.65
12385,Belgium,2010-11-25,380,1,1938.4,1938.4,1,612.0,65,1,2010-11-25,2010-11-25,0,Europe,612.0,3.17
12386,Australia,2010-12-08,338,2,401.9,200.95,1,354.0,10,2,2010-12-08,2011-01-06,29,Oceania,177.0,1.14
12387,Australia,2010-10-20,416,1,143.94,143.94,1,134.0,9,1,2010-10-20,2010-10-20,0,Oceania,134.0,1.07
12388,Australia,2010-05-06,16,8,3901.11,487.64,0,2001.0,83,8,2010-05-06,2011-11-24,567,Oceania,250.13,1.95
12389,Australia,2010-02-22,403,3,1433.33,477.78,1,614.0,41,3,2010-02-22,2010-11-02,253,Oceania,204.67,2.33
12390,Belgium,2011-09-21,80,1,549.84,549.84,0,353.0,32,1,2011-09-21,2011-09-21,0,Europe,353.0,1.56
12391,Cyprus,2010-02-15,22,6,2724.84,454.14,0,1204.0,241,6,2010-02-15,2011-11-18,641,Europe,200.67,2.26
12392,Australia,2010-04-27,592,1,234.75,234.75,1,73.0,7,1,2010-04-27,2010-04-27,0,Oceania,73.0,3.22
12393,Australia,2010-10-07,73,6,2399.45,399.91,0,1311.0,63,6,2010-10-07,2011-09-28,356,Oceania,218.5,1.83
12394,Belgium,2011-05-06,64,2,1272.48,636.24,0,819.0,26,2,2011-05-06,2011-10-07,154,Europe,409.5,1.55
12395,Belgium,2010-04-16,20,15,4721.17,314.74,0,3205.0,145,15,2010-04-16,2011-11-20,583,Europe,213.67,1.47
12396,RSA,2010-02-03,675,1,931.43,931.43,1,591.0,65,1,2010-02-03,2010-02-03,0,Africa,591.0,1.58
12397,Belgium,2011-07-27,36,2,2409.9,1204.95,0,1263.0,110,2,2011-07-27,2011-11-04,100,Europe,631.5,1.91
12398,Switzerland,2011-10-25,46,1,1635.66,1635.66,0,1394.0,85,1,2011-10-25,2011-10-25,0,Europe,1394.0,1.17
